post_id,username,user_id,text,post_text,time,likes,comments,shares,reactions,image,images,link,post_url,available
1415660950589503,nintendo,100064368354094,"Improved visuals with smoother and sharper cutscenes, the high-powered Ether Jet vehicle, fully voiced Heart-to-Heart conversations, and more await you In Xenoblade Chronicles: Definitive Edition – Nintendo Switch 2 Edition, available now on Nintendo eShop: https://ninten.do/6188vg1HA","Improved visuals with smoother and sharper cutscenes, the high-powered Ether Jet vehicle, fully voiced Heart-to-Heart conversations, and more await you In Xenoblade Chronicles: Definitive Edition – Nintendo Switch 2 Edition, available now on Nintendo eShop: https://ninten.do/6188vg1HA",2026-06-09 16:45:25,774,67,82,"{""j’aime"": 501, ""j’adore"": 254, ""solidaire"": 11, ""wouah"": 6, ""haha"": 2}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/714124865_2516352042132962_8138717435345159741_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=108&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeG36IVxJtFuyYMSSCQgKd_6eNa3WQ9KRrZ41rdZD0pGtnNfuS4gkJX9CqzOR-m_-pSGxhlXPoCNvfx9sOFDg_7D&_nc_ohc=MKuL-Rh4sTkQ7kNvwHn2FNg&_nc_oc=Ado0RMp4Ydj0AqMv6JlhyZSZnD6ZLbg_Pd739Wdc7hqUgOxhNx9vmsfTUO40l_DK1L8&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=wbHZ_q6Fu-SfU8YuzOezbg&_nc_ss=7b2a8&oh=00_Af8JB2VSNbX1MK0RhdpKPC2RYG8uuLd7eb7Ji58xMnN9MA&oe=6A2F13B9,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/714124865_2516352042132962_8138717435345159741_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=108&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeG36IVxJtFuyYMSSCQgKd_6eNa3WQ9KRrZ41rdZD0pGtnNfuS4gkJX9CqzOR-m_-pSGxhlXPoCNvfx9sOFDg_7D&_nc_ohc=MKuL-Rh4sTkQ7kNvwHn2FNg&_nc_oc=Ado0RMp4Ydj0AqMv6JlhyZSZnD6ZLbg_Pd739Wdc7hqUgOxhNx9vmsfTUO40l_DK1L8&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=wbHZ_q6Fu-SfU8YuzOezbg&_nc_ss=7b2a8&oh=00_Af8JB2VSNbX1MK0RhdpKPC2RYG8uuLd7eb7Ji58xMnN9MA&oe=6A2F13B9""]",https://www.facebook.com/reel/1535245544970239/,https://www.facebook.com/nintendo/posts/1415660950589503,True
1415571557265109,nintendo,100064368354094,The Legend of Zelda: Ocarina of Time will be reborn on Nintendo Switch 2 in 2026.,The Legend of Zelda: Ocarina of Time will be reborn on Nintendo Switch 2 in 2026.,2026-06-09 14:58:08,28966,2698,10110,"{""j’aime"": 15302, ""j’adore"": 12387, ""wouah"": 656, ""solidaire"": 552, ""haha"": 47, ""triste"": 14, ""en colère"": 8}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/720919602_1964460470795606_5047474083743337352_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=1&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeEWf2rZyrnsOnNNnc4QlX-PF83Hv5i473oXzce_mLjvelT9gs5UlttdpeViwINkNANhWMYDQ2SsXdsg7lMbt0YH&_nc_ohc=rkc6RqxaHkoQ7kNvwFRr0dm&_nc_oc=AdpNQ1193ykWsAlWoNK5N2HueGeeyjEQHiIhVWW3yh9axC9-C5eSbQaWnJ8rTB1rZ3s&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=wbHZ_q6Fu-SfU8YuzOezbg&_nc_ss=7b2a8&oh=00_Af8H2K13v7solZsphqctak_peMCIqd17sJy168eEy6O5Rw&oe=6A2EF6D1,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/720919602_1964460470795606_5047474083743337352_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=1&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeEWf2rZyrnsOnNNnc4QlX-PF83Hv5i473oXzce_mLjvelT9gs5UlttdpeViwINkNANhWMYDQ2SsXdsg7lMbt0YH&_nc_ohc=rkc6RqxaHkoQ7kNvwFRr0dm&_nc_oc=AdpNQ1193ykWsAlWoNK5N2HueGeeyjEQHiIhVWW3yh9axC9-C5eSbQaWnJ8rTB1rZ3s&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=wbHZ_q6Fu-SfU8YuzOezbg&_nc_ss=7b2a8&oh=00_Af8H2K13v7solZsphqctak_peMCIqd17sJy168eEy6O5Rw&oe=6A2EF6D1""]",https://www.facebook.com/reel/1328970535877134/,https://www.facebook.com/nintendo/posts/1415571557265109,True
1415570563931875,nintendo,100064368354094,Follow your heart and strengthen your bonds. The complete KINGDOM HEARTS Collection [I~III] comes to Nintendo Switch 2 on Oct 8. Pre-order later today!,Follow your heart and strengthen your bonds. The complete KINGDOM HEARTS Collection [I~III] comes to Nintendo Switch 2 on Oct 8. Pre-order later today!,2026-06-09 14:56:51,2248,138,453,"{""j’aime"": 1323, ""j’adore"": 856, ""solidaire"": 40, ""wouah"": 23, ""haha"": 3, ""en colère"": 2, ""triste"": 1}",https://scontent-cdg4-2.xx.fbcdn.net/v/t15.5256-10/717248792_950976187993903_2205819351260552142_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=109&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeHBlxcKIeqIuqYehYl3P90p_bLrAzzHKwb9susDPMcrBr5gzGUouAw0ROVPxFcAR6J33nWmR5ZYTsgEFCkb05vG&_nc_ohc=OT6ibcu9kIwQ7kNvwFCPREf&_nc_oc=AdrocpAPxFUNJ2-F5Z1yLDAPbS_tETHHhTbfIYdsp_9JmQal5iOoo6jZRnvN1BFEZAQ&_nc_zt=23&_nc_ht=scontent-cdg4-2.xx&_nc_gid=wbHZ_q6Fu-SfU8YuzOezbg&_nc_ss=7b2a8&oh=00_Af8SQHsfHwADH871WgeVXW2rueZkmmVDzpY9S1GwEN-C6A&oe=6A2F0DD2,"[""https://scontent-cdg4-2.xx.fbcdn.net/v/t15.5256-10/717248792_950976187993903_2205819351260552142_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=109&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeHBlxcKIeqIuqYehYl3P90p_bLrAzzHKwb9susDPMcrBr5gzGUouAw0ROVPxFcAR6J33nWmR5ZYTsgEFCkb05vG&_nc_ohc=OT6ibcu9kIwQ7kNvwFCPREf&_nc_oc=AdrocpAPxFUNJ2-F5Z1yLDAPbS_tETHHhTbfIYdsp_9JmQal5iOoo6jZRnvN1BFEZAQ&_nc_zt=23&_nc_ht=scontent-cdg4-2.xx&_nc_gid=wbHZ_q6Fu-SfU8YuzOezbg&_nc_ss=7b2a8&oh=00_Af8SQHsfHwADH871WgeVXW2rueZkmmVDzpY9S1GwEN-C6A&oe=6A2F0DD2""]",https://www.facebook.com/reel/2040803099890996/,https://www.facebook.com/nintendo/posts/1415570563931875,True
1415569937265271,nintendo,100064368354094,KINGDOM HEARTS IV is coming to Nintendo Switch 2 and will be available day and date at launch!,KINGDOM HEARTS IV is coming to Nintendo Switch 2 and will be available day and date at launch!,2026-06-09 14:55:44,5761,516,2586,"{""j’aime"": 3180, ""j’adore"": 2316, ""wouah"": 160, ""solidaire"": 91, ""haha"": 9, ""en colère"": 3, ""triste"": 2}",https://scontent-cdg4-3.xx.fbcdn.net/v/t15.5256-10/718075947_2192967947942198_2392449675871912928_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=111&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeHBjo1jRTAXY5LDf9vu3HCYcwh1uCV8iqpzCHW4JXyKqskuaTf3LoZA1e9ULEO1NF1p-E9D9ZsJmJ4wmoISkUd2&_nc_ohc=z6NYHudfJ6YQ7kNvwHix6MA&_nc_oc=Adrt_mlLKsprwwf5IPW080to-_oXxs9GkW5R413bCnpbaVJor29CMTiMqr-nz9ZTkNo&_nc_zt=23&_nc_ht=scontent-cdg4-3.xx&_nc_gid=NRjCZBTJ-poved7S4Hf00Q&_nc_ss=7b2a8&oh=00_Af8jrBthvmIBn3pRUGPjtai7JwsnQ-Wvq4VaSYtBBzj_Rw&oe=6A2EFEBB,"[""https://scontent-cdg4-3.xx.fbcdn.net/v/t15.5256-10/718075947_2192967947942198_2392449675871912928_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=111&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeHBjo1jRTAXY5LDf9vu3HCYcwh1uCV8iqpzCHW4JXyKqskuaTf3LoZA1e9ULEO1NF1p-E9D9ZsJmJ4wmoISkUd2&_nc_ohc=z6NYHudfJ6YQ7kNvwHix6MA&_nc_oc=Adrt_mlLKsprwwf5IPW080to-_oXxs9GkW5R413bCnpbaVJor29CMTiMqr-nz9ZTkNo&_nc_zt=23&_nc_ht=scontent-cdg4-3.xx&_nc_gid=NRjCZBTJ-poved7S4Hf00Q&_nc_ss=7b2a8&oh=00_Af8jrBthvmIBn3pRUGPjtai7JwsnQ-Wvq4VaSYtBBzj_Rw&oe=6A2EFEBB""]",https://www.facebook.com/reel/1320807540141716/,https://www.facebook.com/nintendo/posts/1415569937265271,True
1415568683932063,nintendo,100064368354094,Check out even more games coming to Nintendo Switch 2 and Nintendo Switch this year!,Check out even more games coming to Nintendo Switch 2 and Nintendo Switch this year!,2026-06-09 14:54:50,402,17,69,"{""j’aime"": 311, ""j’adore"": 81, ""solidaire"": 6, ""wouah"": 4}",https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/717168503_1379449224244550_1625417685880347837_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=102&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeFKcJmXiMfHT7cp8QPqHb6Mpl1KxaTAUHemXUrFpMBQd6ewCivVrhujOqkJ5sRG31SRZU5BtbVqRZKvMHI1REK-&_nc_ohc=oy9qbRsvj08Q7kNvwFd7kWC&_nc_oc=AdrIkjBPyjLKXRUn7C7D30ukg5TKnQu7xChWkzI4xBXyT_yTWCxuSbRaRl96j1mzhuI&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=NRjCZBTJ-poved7S4Hf00Q&_nc_ss=7b2a8&oh=00_Af8kwmpFm_dmBRcXsKExMfbYoUDnIrGyfcIcvb-fRiLxgg&oe=6A2F0D49,"[""https://scontent-cdg4-1.xx.fbcdn.net/v/t15.5256-10/717168503_1379449224244550_1625417685880347837_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=102&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeFKcJmXiMfHT7cp8QPqHb6Mpl1KxaTAUHemXUrFpMBQd6ewCivVrhujOqkJ5sRG31SRZU5BtbVqRZKvMHI1REK-&_nc_ohc=oy9qbRsvj08Q7kNvwFd7kWC&_nc_oc=AdrIkjBPyjLKXRUn7C7D30ukg5TKnQu7xChWkzI4xBXyT_yTWCxuSbRaRl96j1mzhuI&_nc_zt=23&_nc_ht=scontent-cdg4-1.xx&_nc_gid=NRjCZBTJ-poved7S4Hf00Q&_nc_ss=7b2a8&oh=00_Af8kwmpFm_dmBRcXsKExMfbYoUDnIrGyfcIcvb-fRiLxgg&oe=6A2F0D49""]",https://www.facebook.com/reel/1294320229567344/,https://www.facebook.com/nintendo/posts/1415568683932063,True
1415566710598927,nintendo,100064368354094,Create. Explore. Survive. Minecraft is coming to Nintendo Switch 2 this year—with Vibrant Visuals bringing a dazzling cosmetic overhaul!,Create. Explore. Survive. Minecraft is coming to Nintendo Switch 2 this year—with Vibrant Visuals bringing a dazzling cosmetic overhaul!,2026-06-09 14:51:43,385,27,60,"{""j’aime"": 279, ""j’adore"": 92, ""solidaire"": 5, ""wouah"": 5, ""haha"": 4}",https://scontent-cdg4-2.xx.fbcdn.net/v/t15.5256-10/719548104_1076334524837796_2908139093038160347_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=109&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeFGD2ztFWDbY8QSvRW-IHxUbuVxqYfT-01u5XGph9P7TSwdrAqHlDpyY53nCn88O4MBW9PHDO1dWZBKHuV0Cl40&_nc_ohc=cIfd0m-yTG4Q7kNvwHX4nvV&_nc_oc=AdqNuKMLwGebqY6OKOCSDYeudUFrJ43WMVBS7wiircaQEDXKDjW6ekIHa2_wh1ms22c&_nc_zt=23&_nc_ht=scontent-cdg4-2.xx&_nc_gid=NRjCZBTJ-poved7S4Hf00Q&_nc_ss=7b2a8&oh=00_Af9s4lBn-ipjXOxQ-OVBhNpK2jOBF04zMBVwiwVxKoiWfg&oe=6A2EF393,"[""https://scontent-cdg4-2.xx.fbcdn.net/v/t15.5256-10/719548104_1076334524837796_2908139093038160347_n.jpg?stp=dst-jpg_tt6&cstp=mx720x405&ctp=s720x405&_nc_cat=109&ccb=1-7&_nc_sid=be8305&_nc_eui2=AeFGD2ztFWDbY8QSvRW-IHxUbuVxqYfT-01u5XGph9P7TSwdrAqHlDpyY53nCn88O4MBW9PHDO1dWZBKHuV0Cl40&_nc_ohc=cIfd0m-yTG4Q7kNvwHX4nvV&_nc_oc=AdqNuKMLwGebqY6OKOCSDYeudUFrJ43WMVBS7wiircaQEDXKDjW6ekIHa2_wh1ms22c&_nc_zt=23&_nc_ht=scontent-cdg4-2.xx&_nc_gid=NRjCZBTJ-poved7S4Hf00Q&_nc_ss=7b2a8&oh=00_Af9s4lBn-ipjXOxQ-OVBhNpK2jOBF04zMBVwiwVxKoiWfg&oe=6A2EF393""]",https://www.facebook.com/reel/963023336570282/,https://www.facebook.com/nintendo/posts/1415566710598927,True
